RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,LicenseIssuedDate,LicenseExpiredDate,Extract Year
61003,CLOVER,F,2017,Chihuahua Crossbreed,,11201,3/18/18,3/18/19,2018
61014,HARPER,F,2017,Terrier Crossbreed,,11201,3/18/18,3/18/19,2018
61048,MOMO,F,2011,Miniature Schnauzer,,11201,3/18/18,3/21/19,2018
61073,POMERANIAN,M,2017,Pomeranian,,11201,3/18/18,3/18/19,2018
61097,CHARLIE,F,2011,Maltese,,11201,3/19/18,3/19/19,2018
61252,KATIE,F,2010,"Poodle, Standard",,11201,3/19/18,5/3/19,2018
61295,LUNA,F,2004,Boston Terrier,,11201,3/19/18,3/19/19,2018
61303,JEZEBEL,F,2009,Wheaton Terrier,,11201,3/19/18,5/7/23,2018
61331,LUNA,F,2013,Golden Retriever,,11201,3/19/18,4/15/19,2018
61430,MR,M,2013,Poodle Crossbreed,,11201,3/20/18,4/26/20,2018
61471,UNKNOWN,M,2018,Shiba Inu,,11201,3/20/18,3/20/19,2018
61501,GEORGE,M,2017,Wirehaired Vizsla,,11201,3/20/18,3/20/23,2018
61681,DUCK,M,2017,Labrador Retriever,,11201,3/21/18,3/21/19,2018
61692,TIMBER,M,2015,Beagle Crossbreed,,11201,3/21/18,4/23/23,2018
61729,HATTHIE,M,2016,Havanese,,11201,3/21/18,3/21/19,2018
61857,BAILEY,F,2006,Puggle,,11201,3/22/18,4/18/19,2018
61859,PRISCILLA,F,2015,American Staffordshire Terrier,,11201,3/22/18,4/24/19,2018
61892,SPARKY,M,2017,Miniature American Shepherd,,11201,3/22/18,3/29/19,2018
62166,SAMANTHA,F,2014,"Welsh Corgi, Pembroke",,11201,3/24/18,3/24/19,2018
62186,COCK-A-CHON,M,2016,Cocker Spaniel Crossbreed,,11201,3/24/18,5/17/19,2018
62238,RAINA,F,2016,Goldendoodle,,11201,3/25/18,5/1/19,2018
62243,MORNING,M,2017,"Jindo Dog, Korea",,11201,3/25/18,3/25/21,2018
62298,BUDDY,M,2017,Labradoodle,,11201,3/25/18,3/25/23,2018
62369,UNKNOWN,M,2017,"Jindo Dog, Korea",,11201,3/26/18,3/26/19,2018
62376,ZEPHYR,M,2018,Australian Shepherd,,11201,3/26/18,3/26/19,2018
62380,NAME,M,2017,Miniature Australian Shepherd,,11201,3/26/18,3/26/19,2018
62439,STELLA,F,2017,Labrador Retriever Crossbreed,,11201,3/26/18,3/26/19,2018
62475,BELLA,F,2015,Australian Shepherd,,11201,3/26/18,1/11/19,2018
62651,CASSIE,F,2010,Shih Tzu Crossbreed,,11201,3/28/18,3/28/23,2018
62702,LOGI,M,2011,Unknown,,11201,3/28/18,10/4/20,2018
62715,MAGGIE,F,2014,"Bull Dog, English",,11201,3/28/18,3/28/19,2018
62736,LUNA,F,2014,French Bulldog,,11201,3/28/18,1/16/19,2018
62801,BONNIE,F,2008,American Pit Bull Mix / Pit Bull Mix,,11201,3/28/18,4/19/19,2018
62845,TEDDY,M,2003,Lhasa Apso,,11201,3/29/18,5/7/19,2018
62948,RILEY,F,2009,Labrador Retriever Crossbreed,,11201,3/29/18,5/9/19,2018
63079,MAGGIE,F,2006,Coton de Tulear,,11201,3/30/18,3/30/20,2018
63177,LI,F,2017,"Jindo Dog, Korea",,11201,3/30/18,3/30/19,2018
63204,BAMPO,M,2013,Chihuahua,,11201,3/30/18,3/30/19,2018
63266,UNKNOWN,M,2017,Yorkshire Terrier,,11201,3/31/18,3/31/19,2018
63615,AXEL,M,2016,Doberman Pinscher,,11201,4/2/18,4/2/23,2018
63623,LEXA,F,2012,Doberman Pinscher,,11201,4/2/18,4/3/23,2018
63684,MOXIE,F,2016,Rottweiler,,11201,4/2/18,4/2/19,2018
63843,DONOVAN,M,2005,Terrier Crossbreed,,11201,4/3/18,4/20/19,2018
63851,BROOKLYN,M,2015,Miniature Pinscher,,11201,4/3/18,4/14/20,2018
63859,HERO,M,2017,French Bulldog,,11201,4/3/18,4/3/19,2018
63902,BUSTER,M,2011,Border Terrier,,11201,4/3/18,5/5/19,2018
64025,MAISY,F,2013,Golden Retriever,,11201,4/3/18,4/3/19,2018
64080,SHORTY,M,2011,Yorkshire Terrier Crossbreed,,11201,4/3/18,4/3/20,2018
64210,MORTY,M,2016,Havanese,,11201,4/4/18,2/26/19,2018
64271,JUNGLI,M,2015,Labrador Retriever,,11201,4/4/18,5/27/19,2018
64345,WINNIE,F,2017,Soft Coated Wheaten Terrier,,11201,4/5/18,4/5/19,2018
64400,ARTIE,M,2015,Goldendoodle,,11201,4/5/18,5/24/19,2018
64465,STELLA,F,2007,Unknown,,11201,4/5/18,5/21/19,2018
64478,JANE,F,2017,Unknown,,11201,4/5/18,4/5/19,2018
64519,ZIGGY,M,2006,Labrador Retriever,,11201,4/6/18,4/28/19,2018
64715,DEMPSEY,F,2010,Jack Russell Terrier,,11201,4/7/18,3/12/19,2018
